Run,Top_K,RF_Features,DODA_Features,Common_Feature_Count,RF_Feature_Count,DODA_Feature_Count,Same_Feature_Set,Jaccard_Agreement,Features_Added_by_DODA,Features_Removed_by_DODA
22,5,"mean concave points, mean perimeter, worst area, worst concave points, worst perimeter","mean concave points, mean perimeter, worst area, worst concave points, worst perimeter",5,5,5,True,1.0,,
22,10,"mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",10,10,10,True,1.0,,
22,15,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst texture",15,15,15,True,1.0,,
22,20,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
23,5,"mean concave points, mean concavity, worst area, worst concave points, worst perimeter","mean concave points, mean concavity, worst area, worst concave points, worst perimeter",5,5,5,True,1.0,,
23,10,"area error, mean area, mean concave points, mean concavity, mean perimeter, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",9,10,10,False,0.8181818181818182,mean radius,area error
23,15,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst texture",15,15,15,True,1.0,,
23,20,"area error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
24,5,"mean concave points, mean perimeter, worst area, worst concave points, worst radius","mean concave points, worst area, worst concave points, worst perimeter, worst radius",4,5,5,False,0.6666666666666666,worst perimeter,mean perimeter
24,10,"mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",10,10,10,True,1.0,,
24,15,"area error, mean area, mean concave points, mean concavity, mean perimeter, mean radius, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst texture",14,15,15,False,0.875,mean compactness,worst smoothness
24,20,"area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
25,5,"mean concave points, mean perimeter, worst area, worst concave points, worst radius","mean concave points, mean perimeter, worst area, worst concave points, worst radius",5,5,5,True,1.0,,
25,10,"mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius","mean area, mean concave points, mean concavity, mean perimeter, mean radius, worst area, worst concave points, worst concavity, worst perimeter, worst radius",10,10,10,True,1.0,,
25,15,"area error, mean area, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst texture","area error, mean area, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst texture",15,15,15,True,1.0,,
25,20,"area error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, concavity error, mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean texture, perimeter error, radius error, worst area, worst compactness, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",20,20,20,True,1.0,,
